State,District,Sub District,% Rural Population,% Rural Households,OFC Density
NAGALAND,Mon,Mon Sadar,45.12370510869792,44.69820554649266,0.5874
ANDHRA PRADESH,Anantapur,Gooty,45.25858674496833,45.02166586422725,0.1951
GUJARAT,Rajkot,Dhoraji,45.41821609337878,46.50746093291035,0.0475
ODISHA,Sambalpur,Burla,45.58230591744937,46.87436263512135,0.0082
JHARKHAND,Sahibganj,Sahibganj,45.58721934369603,44.19425471420635,0.1772
ASSAM,Dibrugarh,Dibrugarh East,45.62150760463309,44.28823712732435,0.6325
RAJASTHAN,Udaipur,Girwa,45.66294746991815,44.85917080975442,0.5019
MANIPUR,Imphal West,Wangoi,45.7564392516076,47.00188035378508,0.4218
KERALA,Thrissur,Talappilly,46.20336473201432,45.96473734917031,0.2507
MIZORAM,Lawngtlai,Lawngtlai,46.20629099736584,47.80403150447204,0.2313
MADHYA PRADESH,Neemuch,Neemuch,46.32534370968482,49.70588235294117,0.08
UTTAR PRADESH,Ghaziabad,Modinagar,46.46007357035852,44.7718736190897,1.2405
KERALA,Kozhikode,Quilandy,46.517561881324085,46.79928043821544,0.4414
UTTAR PRADESH,Saharanpur,Saharanpur,46.606337484249735,44.525354492022124,0.0417
KARNATAKA,Bellary,Bellary,46.75968863539963,44.58454264132085,0.244
MADHYA PRADESH,Burhanpur,Burhanpur,46.81422746226798,50.04441286196483,0.1375
BIHAR,Darbhanga,Darbhanga,47.3854317581572,48.70331032041069,1.251
MADHYA PRADESH,Ratlam,Ratlam,47.39157762413576,47.287941023479405,0.0064
NAGALAND,Mokokchung,Tuli,47.469735209821614,45.10694681052432,0.1405
BIHAR,Saharsa,Kahara,47.53054349829895,49.58866784273313,0.5663
KARNATAKA,Gadag,Gadag,47.89085601947405,47.24944937466995,0.37
UTTAR PRADESH,Rampur,Rampur,47.940239596111965,45.38739955666389,1.098
UTTAR PRADESH,Varanasi,Varanasi,48.00309423411967,46.203020302885776,0.2551
RAJASTHAN,Ganganagar,Ganganagar,48.11186778506769,47.23452908389309,0.7956
GUJARAT,Rajkot,Jetpur,48.16015214048717,48.45808885991426,0.0046
MADHYA PRADESH,Anuppur,Kotma,48.24156040254536,52.36037475488416,0.3659
GUJARAT,Kheda,Nadiad,48.66116693620192,48.94935133865256,0.6138
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Naidupet,48.739453595821615,50.47212336892052,0.0759
ANDHRA PRADESH,Visakhapatnam,Bheemunipatnam,48.77910424670603,49.60865886334791,0.2473
HARYANA,Yamunanagar,Jagadhri,48.94807816452322,46.18474843231063,0.8108
KARNATAKA,Tumkur,Tumkur,48.99653441864155,48.39289920555044,0.1202
MAHARASHTRA,Nagpur,Nagpur (Rural),49.11332086897533,48.4112968169424,0.0728
ANDHRA PRADESH,Visakhapatnam,Narsipatnam,49.20097803781164,49.77556714788305,0.3128
BIHAR,Munger,Jamalpur,49.390870253924064,48.903937797842985,1.182
ODISHA,Khordha,Jatani,49.60879712036708,48.89413376984278,1.3129
KARNATAKA,Raichur,Raichur,49.63049272316334,48.75135282753598,0.0814
PUNJAB,Sahibzada Ajit Singh Nagar,Dera Bassi,49.740080472260566,46.61856336703503,0.2801
UTTAR PRADESH,Jalaun,Orai,49.8553361795646,49.36456480578346,0.0391
