Sub-dist Name,OFC Length,Area,Density
Bamanwas,241.6743,654.9794299593917,0.3689799846309427
Malarna Doongar,156.9019,341.1467487161368,0.45992494605468387
Bonli,110.6982,553.12847263885,0.20013108251666037
Chauth Ka Barwara,138.8985,469.465186268405,0.2958653890910417
Sawai Madhopur,385.3609,982.75754279047,0.392122047627124
Khandar,106.2686,924.7430588800848,0.11491689391937386
Baswa,155.415,635.7442612782113,0.24446150671895414
Mahwa,142.286,487.9127513377825,0.2916218106820809
Sikrai,181.2179,514.7116407913195,0.3520765524583725
Dausa,391.5656,923.4572218071836,0.4240213739773625
Lalsot,191.8555,870.1824466221391,0.22047732719125943
Kotputli,45.4589,811.0696343992372,0.05604808523459469
Viratnagar,108.6686,482.92109687068216,0.2250235094390576
Shahpura,153.8077,530.4205120793875,0.2899731373453743
Shahpura,153.8077,1128.420535155592,0.13630352799170947
Chomu,168.9625,680.7730734138894,0.2481921018889593
Phulera (Hq.Sambhar),240.3439,1560.9855874441473,0.15396932677227526
Mauzamabad,158.572,1339.6951707619132,0.11836423946338234
Phagi,209.2808,1118.166115689596,0.18716431938284256
Sanganer,599.9207,710.2086000515253,0.8447105539928353
Jaipur,592.8226,579.227250642461,1.0234715292529133
Amber,214.0634,810.8724983378643,0.2639914418589724
Jamwa Ramgarh,38.8728,1022.233482876208,0.03802732022690698
Bassi,154.5829,679.8496466000898,0.22737806921436968
Chaksu,123.4264,816.568692953325,0.15115250078177445
Fatehpur,205.1279,1071.4124781349194,0.1914555824075151
Lachhmangarh,323.878,514.0,0.6301128404669261
Lachhmangarh,323.878,1221.7471857566836,0.26509412403467714
Sikar,625.5373,1516.2607881553215,0.4125525799298858
Danta Ramgarh,584.7135,1371.313714372509,0.4263893038272103
Sri Madhopur,367.7567,1372.92273796603,0.2678640901124761
Neem-Ka-Thana,114.8688,1178.3450719211223,0.09748315899749377
Ladnu,255.19,1258.3466098745512,0.2027978603013368
Didwana,451.5612,1649.04739050859,0.2738315482011296
Jayal,396.5186,2065.7639187234927,0.19194768405337556
Nagaur,720.7738,3055.549553372416,0.23589007064358702
Kheenvsar,283.932,1646.2599889820692,0.17247093527162954
Merta,410.2315,2285.617633200504,0.1794838708106925
Degana,404.8067,1897.993317954996,0.2132814147291948
Parbatsar,241.6843,1105.0808207533214,0.21870282739614147
Makrana,303.1747,1127.762010211717,0.2688286156607495
Nawa,333.3058,1626.5933226560592,0.2049103456638725
Phalodi,617.6755,7696.811415415615,0.08025082942306268
Osian,592.9578,3543.4126175331903,0.16734088405792213
Bhopalgarh,385.4808,2491.642009377933,0.1547095443683901
Jodhpur,860.9196,1968.4173645098413,0.4373663916617495
Shergarh,354.716,3866.643507279666,0.09173744601284861
Luni,234.0957,1616.8548973258548,0.14478460645242505
Bilara,335.5557,1666.2208414808083,0.2013872901156272
Jaisalmer,814.3703,24462.42452015531,0.033290661738333276
Pokaran,595.6554,9598.537549549736,0.06205689115921018
Fatehgarh,353.0602,4340.036389798775,0.08134959440198831
Siwana,38.5983,2061.393082925206,0.018724376403372493
Chohtan,10.1195,4735.656064387154,0.0021368739330755375
Sayla,180.4462,964.4431663400036,0.18709884241782862
Ahore,345.6466,1887.301080785682,0.18314332753738877
Jalor,351.1837,1296.1585660419275,0.27094192732329636
Bhinmal,447.7394,1626.6786885711826,0.27524759692602757
Bagora,183.4992,845.622221662191,0.21699902781564345
Sanchore,501.4141,2996.414359876777,0.16733803799439137
Raniwara,273.5751,1023.4171026680224,0.2673153490270943
Sheoganj,235.1145,884.4683684088259,0.26582578687689545
Sirohi,478.0888,1175.0673753927028,0.406860755401557
Pindwara,251.6109,1112.843679019635,0.22609725403810338
Abu Road,187.9557,878.8135587150489,0.2138743743039401
Reodar,304.8857,1084.8087125782442,0.28105019480843213
Jaitaran,268.4375,1378.9085258595635,0.19467389965745946
Raipur,212.2874,1100.9209662206936,0.19282710250196497
Raipur,212.2874,508.4408088984616,0.41752628090558114
Sojat,306.2872,1713.965553093131,0.17870090763916152
Rohat,296.1175,1429.834449674941,0.20709915058160716
Pali,850.023,1657.1455695097764,0.51294407422002
Marwar Junction,366.0789,1399.0543597755056,0.2616616698573039
Desuri,313.3991,1321.0178400608622,0.2372406265047571
Sumerpur,227.786,970.5031992911722,0.23470916960023253
Bali,306.6299,1415.634651362672,0.21660242613081135
Kishangarh,91.3428,1714.646874382467,0.053272076813423906
Ajmer,366.9342,897.0568796596239,0.4090422896474839
Peesangan,69.5338,653.8438214806225,0.1063461911172326
